Time,SI,PGA
52:42.2,0,0
52:42.8,0,0
52:43.3,0,0
52:43.9,0,0
52:44.4,0,0
52:45.0,0,0
52:45.5,0,0
52:46.0,0,0
52:46.6,0,0
52:47.1,0,0
52:47.7,0,0
52:48.2,0,0
52:48.8,0,0
52:49.3,0,0
52:49.8,0,0
52:50.4,0.9,0.96
52:50.9,1.25,0
52:51.5,0,0
52:52.0,0,0
52:52.6,1.44,1.4
52:53.1,1.5,1.4
52:53.6,1.52,1.4
52:54.2,1.71,1.44
52:54.7,1.75,1.7
52:55.3,1.8,1.73
52:55.8,1.84,1.73
52:56.3,1.87,1.73
52:56.9,1.88,1.73
52:57.4,1.88,1.73
52:58.0,1.88,1.73
52:58.5,1.88,1.73
52:59.1,1.88,1.73
52:59.6,1.88,1.73
53:00.1,1.88,1.73
53:00.7,1.88,1.73
53:01.2,1.88,1.73
53:01.8,1.88,1.73
53:02.3,1.88,1.73
53:02.8,1.88,1.73
53:03.4,1.88,1.73
53:03.9,1.88,1.73
53:04.5,1.88,1.73
53:05.0,1.88,1.73
53:05.5,1.88,1.73
53:06.1,1.88,1.73
53:06.6,1.88,1.73
53:07.2,1.88,1.73
53:07.7,1.89,1.73
53:08.2,1.89,1.73
53:08.8,1.9,1.73
53:09.3,1.9,1.73
53:09.9,1.9,1.73
53:10.4,1.9,1.73
53:11.0,1.9,1.73
53:11.5,1.9,1.73
53:12.0,1.9,1.73
53:12.6,1.9,1.73
53:13.1,1.9,1.73
53:13.7,1.9,1.73
53:14.2,1.9,1.73
53:14.7,1.9,1.73
53:15.3,1.9,1.73
53:15.8,1.9,1.73
53:16.4,1.9,1.73
53:16.9,1.9,1.73
53:17.4,1.9,1.73
53:18.0,1.9,1.73
53:18.5,1.9,1.73
53:19.1,1.9,1.73
53:19.6,1.9,1.73
53:20.2,1.9,1.73
53:20.7,1.9,1.73
53:21.2,1.9,1.73
53:21.8,1.9,1.73
53:22.3,1.9,1.73
53:22.9,1.9,1.73
53:23.4,1.9,1.73
53:24.0,1.9,1.73
53:24.5,1.9,1.73
53:25.0,1.9,1.73
53:25.6,1.9,1.73
53:26.1,1.9,1.73
53:26.7,1.9,1.73
53:27.2,1.9,1.73
53:27.7,1.9,1.73
53:28.3,1.9,1.73
53:28.8,1.9,1.73
53:29.4,1.9,1.73
53:29.9,1.9,1.73
53:30.4,1.9,1.73
53:31.0,1.9,1.73
53:31.5,1.9,1.73
53:32.1,1.9,1.73
53:32.6,1.9,1.73
53:33.1,1.9,1.73
53:33.7,1.9,1.73
53:34.2,1.9,1.73
53:34.8,1.9,1.73
53:35.3,1.9,1.73
53:35.9,1.9,1.73
53:36.4,1.9,1.73
53:36.9,1.9,1.73
53:37.5,1.9,1.73
53:38.0,1.9,1.73
53:38.6,1.9,1.73
53:39.1,1.9,1.73
53:39.6,1.9,1.73
53:40.2,1.9,1.73
53:40.7,1.9,1.73
53:41.3,1.9,1.73
53:41.8,1.9,1.73
53:42.4,1.9,1.73
53:42.9,1.9,1.73
53:43.5,1.9,1.73
53:44.0,0,0
53:44.5,0,0
53:45.1,0,0
53:45.6,0,0
53:46.2,0,0
53:46.7,0,0
53:47.2,0,0
53:47.8,0,0
53:48.3,0,0
53:48.9,0,0
53:49.4,0,0
53:49.9,0,0
53:50.5,0,0
53:51.0,0,0
53:51.6,0,0
53:52.1,0,0
