Time,X,Y,Z
52:42.0,0.04,0.11,1.01
52:42.2,0.04,0.11,1.01
52:42.5,0.04,0.11,1.01
52:42.7,0.04,0.11,1.01
52:43.0,0.04,0.11,1
52:43.3,0.04,0.11,1.01
52:43.5,0.05,0.1,1.01
52:43.8,0.04,0.1,1
52:44.0,0.04,0.1,1
52:44.3,0.04,0.11,1.01
52:44.6,0.04,0.11,1
52:44.8,0.04,0.11,1.01
52:45.1,0.04,0.11,1
52:45.4,0.05,0.11,1.01
52:45.6,0.04,0.1,1
52:45.9,0.04,0.1,1
52:46.1,0.05,0.11,1.01
52:46.4,0.04,0.11,1
52:46.7,0.04,0.11,1
52:46.9,0.05,0.11,1.01
52:47.2,0.05,0.1,1.01
52:47.5,0.04,0.1,1.01
52:47.7,0.04,0.09,1.01
52:48.0,0.04,0.1,1
52:48.3,0.05,0.03,1.01
52:48.5,0.02,-0.12,1.03
52:48.8,0.12,0.42,1.01
52:49.0,-0.05,-0.4,1.03
52:49.3,0.2,0.39,0.94
52:49.6,0.03,-0.44,0.99
52:49.8,0.15,0.1,0.94
52:50.1,0.1,0.07,0.97
52:50.3,-0.19,-0.23,1.01
52:50.6,0.28,0.37,0.95
52:50.9,-0.31,-0.49,1.03
52:51.1,0.42,0.84,0.89
52:51.4,-0.23,-0.56,1.03
52:51.7,0.27,1.09,0.92
52:51.9,0.01,-0.74,0.97
52:52.2,0.38,0.29,1.21
52:52.4,0.05,0,0.79
52:52.7,-0.21,-0.41,1.03
52:53.0,0.3,0.58,0.89
52:53.2,-0.17,-0.78,1.05
52:53.5,0.52,1.37,0.83
52:53.8,-0.26,-0.97,1.07
52:54.0,0.55,1.15,0.91
52:54.3,-0.32,-0.83,0.99
52:54.6,0.01,0.96,1.37
52:54.8,-0.35,-0.75,0.89
52:55.1,-0.26,0.41,0.83
52:55.3,-0.06,-0.48,1.09
52:55.6,-0.72,-0.36,0.92
52:55.9,0.38,1.21,0.3
52:56.1,-0.17,-1.12,1.03
52:56.4,0.71,1.56,0.93
52:56.7,-0.45,-1.06,1.06
52:56.9,0.81,1.36,0.84
