Time,X,Y,Z
0.005,-0.009,-0.014,-0.039
0.01,-0.005,-0.02,-0.008
0.015,-0.008,-0.01,0.003
0.02,-0.009,0.002,-0.004
0.025,-0.006,0.005,-0.012
0.03,0.001,0.002,-0.012
0.035,0.004,-0.002,-0.003
0.04,0.002,-0.002,0.006
0.045,-0.002,-0.002,0.008
0.05,-0.005,-0.002,0.003
0.055,-0.002,-0.005,-0.006
0.06,0.001,-0.007,-0.013
0.065,0.002,-0.004,-0.015
0.07,-0.001,0.001,-0.012
0.075,-0.005,0.004,-0.006
0.08,-0.008,0.003,0.001
0.085,-0.008,-0.002,0.006
0.09,-0.006,-0.006,0.008
0.095,-0.004,-0.003,0.008
0.1,-0.003,0.003,0.007
0.105,0,0.005,0.007
0.11,0.006,-0.001,0.008
0.115,0.013,-0.01,0.007
0.12,0.017,-0.016,0.003
0.125,0.013,-0.015,-0.005
0.13,0.006,-0.009,-0.012
0.135,0,-0.005,-0.012
0.14,0,-0.005,-0.006
0.145,0.005,-0.009,0.003
0.15,0.009,-0.01,0.009
0.155,0.007,-0.009,0.008
0.16,0.001,-0.007,0
0.165,-0.005,-0.008,-0.01
0.17,-0.01,-0.01,-0.017
0.175,-0.013,-0.011,-0.018
0.18,-0.012,-0.009,-0.011
0.185,-0.007,-0.006,0
0.19,0,-0.004,0.012
0.195,0.004,-0.002,0.018
0.2,0.005,0,0.014
0.205,0.002,0.002,0.004
0.21,-0.001,0.001,-0.005
0.215,0,-0.003,-0.007
0.22,0.003,-0.007,-0.004
0.225,0.004,-0.009,-0.002
0.23,0.004,-0.007,-0.005
0.235,0.002,-0.004,-0.01
0.24,0.002,-0.002,-0.01
0.245,0.004,-0.002,-0.005
0.25,0.004,-0.003,0.003
0.255,0.002,-0.003,0.008
0.26,-0.001,-0.003,0.007
0.265,-0.003,-0.004,0.001
0.27,-0.002,-0.007,-0.006
0.275,0.002,-0.008,-0.01
0.28,0.006,-0.005,-0.009
0.285,0.008,0.002,-0.005
0.29,0.005,0.01,-0.002
0.295,0,0.013,-0.002
0.3,-0.005,0.008,-0.004
0.305,-0.007,-0.002,-0.006
0.31,-0.006,-0.009,-0.004
0.315,-0.003,-0.011,-0.002
0.32,-0.001,-0.008,-0.001
0.325,-0.002,-0.005,-0.002
0.33,-0.006,-0.006,-0.004
0.335,-0.008,-0.009,-0.006
0.34,-0.009,-0.012,-0.007
0.345,-0.007,-0.01,-0.006
0.35,-0.004,-0.006,-0.002
0.355,-0.001,-0.004,0.004
0.36,0,-0.007,0.008
0.365,-0.001,-0.012,0.008
0.37,-0.002,-0.015,0.005
0.375,0.001,-0.014,0.002
0.38,0.007,-0.01,0.001
0.385,0.013,-0.008,0.002
0.39,0.012,-0.009,0.003
0.395,0.006,-0.012,0.002
0.4,-0.003,-0.016,0
0.405,-0.005,-0.016,0
0.41,0.002,-0.014,0.004
0.415,0.012,-0.009,0.008
0.42,0.017,-0.005,0.007
0.425,0.014,-0.002,0.001
0.43,0.006,-0.004,-0.006
0.435,0.001,-0.008,-0.009
0.44,0.001,-0.013,-0.007
0.445,0.004,-0.016,-0.006
0.45,0.003,-0.015,-0.007
0.455,-0.003,-0.012,-0.006
0.46,-0.011,-0.007,0
0.465,-0.016,-0.004,0.009
0.47,-0.015,-0.001,0.015
0.475,-0.008,0,0.011
0.48,0,0.002,0.003
0.485,0.005,0.001,-0.004
0.49,0.006,-0.001,-0.006
0.495,0.003,-0.005,-0.005
0.5,0,-0.007,-0.006
0.505,-0.003,-0.006,-0.007
0.51,-0.005,-0.002,-0.006
0.515,-0.007,0.001,0.001
0.52,-0.009,0.001,0.012
0.525,-0.01,-0.001,0.018
0.53,-0.009,-0.004,0.015
0.535,-0.005,-0.008,0.005
0.54,0.001,-0.011,-0.004
0.545,0.007,-0.014,-0.008
0.55,0.01,-0.017,-0.008
0.555,0.007,-0.017,-0.006
0.56,-0.001,-0.014,-0.003
0.565,-0.009,-0.009,0.002
0.57,-0.013,-0.006,0.009
0.575,-0.01,-0.008,0.014
0.58,-0.003,-0.013,0.015
0.585,0.001,-0.015,0.011
0.59,0,-0.011,0.007
0.595,-0.005,-0.004,0.004
0.6,-0.008,0.001,0.004
0.605,-0.007,0.001,0.005
0.61,-0.002,-0.003,0.005
0.615,0.001,-0.006,0.006
0.62,0.002,-0.008,0.009
0.625,0,-0.011,0.013
0.63,-0.002,-0.015,0.017
0.635,-0.003,-0.02,0.017
0.64,-0.002,-0.019,0.014
0.645,0,-0.011,0.009
0.65,0.003,0,0.004
0.655,0.006,0.008,0.002
0.66,0.005,0.008,0.001
0.665,0.003,0.003,0.001
0.67,0.001,-0.001,0.002
0.675,0.001,-0.003,0.004
0.68,0.001,-0.002,0.007
0.685,0,-0.002,0.009
0.69,-0.006,-0.005,0.006
0.695,-0.014,-0.008,0.001
0.7,-0.018,-0.011,-0.003
0.705,-0.015,-0.012,-0.005
0.71,-0.006,-0.01,-0.005
0.715,0.003,-0.008,-0.005
0.72,0.008,-0.005,-0.006
0.725,0.008,-0.002,-0.003
0.73,0.004,0,0.004
0.735,0,0.003,0.013
0.74,-0.003,0.006,0.02
0.745,-0.005,0.008,0.02
0.75,-0.005,0.007,0.014
0.755,-0.004,0.001,0.005
0.76,-0.001,-0.011,0
0.765,0.002,-0.023,-0.001
0.77,0.004,-0.029,0.002
0.775,0.003,-0.025,0.003
0.78,0.001,-0.015,0.001
0.785,-0.001,-0.005,-0.003
0.79,0,-0.001,-0.003
0.795,0.003,-0.001,-0.002
0.8,0.005,-0.003,0
0.805,0.006,-0.003,-0.001
0.81,0.006,-0.002,-0.005
0.815,0.005,-0.001,-0.006
0.82,0.004,-0.001,-0.005
0.825,0.001,-0.001,0
0.83,-0.004,0,0.003
